,id_str,from_user,text,formated_date,users,hashtags,nlikes,nreplies,nretweets
12932,1422502342277074951,toninhominas,#EuAutorizoPresidente vc a ser condenado por espelhar mentiras sobre o processo eleitoral e atentar contra a democracia.  https://t.co/Zt9x7RnDHx,2021-08-03 07:19:21+00:00,[],['euautorizopresidente'],331,15,62
12933,1422336141219536898,SilvanaDapaixo4,@ECantanhede Pra ser estadista ele precisa ganhar no voto #EuAutorizoPresidente,2021-08-03 07:18:58+00:00,['ECantanhede'],['euautorizopresidente'],0,0,0
12934,1422502224861728797,CsarAzerdo2,#EuAutorizoPresidente,2021-08-03 07:18:53+00:00,[],['euautorizopresidente'],0,0,0
12935,1422500375639232530,manumanu1602,@TrumpMargareth #EuAutorizoPresidente,2021-08-03 07:18:42+00:00,['TrumpMargareth'],['euautorizopresidente'],1,0,0
12936,1422502155395665926,DPalafoz,#EuAutorizoPresidente,2021-08-03 07:18:37+00:00,[],['euautorizopresidente'],1,0,0
12937,1422499781985832978,manumanu1602,@Jambock67 @jairbolsonaro #EuAutorizoPresidente,2021-08-03 07:18:22+00:00,"['Jambock67', 'jairbolsonaro']",['euautorizopresidente'],1,0,0
12938,1422501955633664006,Sharda_paula,#EuAutorizoPresidente manda o @TSEjusbr tomar naquele lugar!,2021-08-03 07:17:49+00:00,[],['euautorizopresidente'],5,0,3
12939,1422501952835948545,flavio_verneque,#EuAutorizoPresidente,2021-08-03 07:17:49+00:00,[],['euautorizopresidente'],0,0,0
12940,1422501943143026689,k_menezes,#EuAutorizoPresidente ser preso por genocídio!,2021-08-03 07:17:46+00:00,[],['euautorizopresidente'],1,0,0
12941,1422412577007706113,manumanu1602,@pietrobianchin8 #EuAutorizoPresidente,2021-08-03 07:17:36+00:00,['pietrobianchin8'],['euautorizopresidente'],2,0,0
12942,1422501862188650520,paulacioni,Bom Dia! #EuAutorizoPresidente,2021-08-03 07:17:27+00:00,[],['euautorizopresidente'],1,0,0
12943,1422501843935141888,guinissola1,Esses abutres estão ultrapassando os limites #EuAutorizoPresidente,2021-08-03 07:17:23+00:00,[],['euautorizopresidente'],0,0,0
12944,1422501843704352785,Jambock67,"Bom dia Srs. Como está não pode continuar. Sejamos realistas, as coisas estão bem claras, há um golpe escancarado em andamento para quem quiser ver. @DefesaGovBr  @ComandanteMb  @gen_paulosergio  @CBaptistaJr  @STM_Oficial  @gen_heleno #EuAutorizoPresidente",2021-08-03 07:17:23+00:00,[],['euautorizopresidente'],31,3,12
12945,1422501834984394760,RonaldoLisboaBR,@jairbolsonaro @DoForcas @marmilbr @fab_oficial  O Brasil depende de vcs. Os Brasileiros de bem  pedem socorro!!!! #EuAutorizoPresidente #EuAutorizoPresidente  https://t.co/eDAnwQPRMq,2021-08-03 07:17:20+00:00,[],"['euautorizopresidente', 'euautorizopresidente']",3,0,2
12946,1422501829397581824,pruda1268,"Bom dia patriotas. Preparados pra guerra, #EuAutorizoPresidente",2021-08-03 07:17:19+00:00,[],['euautorizopresidente'],4,1,1
12947,1422501769884602386,salmo5018,#EuAutorizoPresidente o gado é tão fofinho. Acha que se acontecer o Bozo continua como presidente 😂😂😂  https://t.co/eacGP03Wld,2021-08-03 07:17:05+00:00,[],['euautorizopresidente'],0,0,0
12948,1422501757800812560,SamuelM01896158,#EuAutorizoPresidente,2021-08-03 07:17:02+00:00,[],['euautorizopresidente'],0,0,0
12949,1422401244950409245,manumanu1602,@PatriotaSemeand #EuAutorizoPresidente,2021-08-03 07:16:56+00:00,['PatriotaSemeand'],['euautorizopresidente'],0,0,0
12950,1422501628561723434,TKMDutra,Ratificando!   #EuAutorizoPresidente,2021-08-03 07:16:31+00:00,[],['euautorizopresidente'],0,0,0
12951,1422403452504879105,manumanu1602,@ZilaHelena #EuAutorizoPresidente,2021-08-03 07:16:25+00:00,['ZilaHelena'],['euautorizopresidente'],1,0,0
12952,1422501564581810186,GeraldPeereira,#EuAutorizoPresidente vc Tomar vergonha na sua cara de pau,2021-08-03 07:16:16+00:00,[],['euautorizopresidente'],0,0,0
12953,1422501549436178506,BrasilJaspion,#EuAutorizoPresidente kkk,2021-08-03 07:16:12+00:00,[],['euautorizopresidente'],2,0,0
12954,1422501215049486343,banfdp,@adinaelsilva Dia! #EuAutorizoPresidente,2021-08-03 07:16:04+00:00,['adinaelsilva'],['euautorizopresidente'],0,0,0
12955,1422496874309750795,manumanu1602,@Jambock67 #EuAutorizoPresidente,2021-08-03 07:15:52+00:00,['Jambock67'],['euautorizopresidente'],0,0,0
12956,1422501446172413957,presidentewal,Um lixo de ser humano! #EuAutorizoPresidente,2021-08-03 07:15:48+00:00,[],['euautorizopresidente'],2,0,0
12957,1422501389125685257,guilyma,#EuAutorizoPresidente,2021-08-03 07:15:34+00:00,[],['euautorizopresidente'],0,0,0
12958,1422371793826983940,banfdp,"@andreporci Simples e puro aparelhamento em TODAS as instituições! Não existe democracia, é somente uma palavra de retórica. #EuAutorizoPresidente",2021-08-03 07:15:24+00:00,['andreporci'],['euautorizopresidente'],0,0,0
12959,1422395585156591629,manumanu1602,@zivaniacandu #EuAutorizoPresidente,2021-08-03 07:15:22+00:00,['zivaniacandu'],['euautorizopresidente'],1,0,0
12960,1422474074266218514,DireitaElias,@makusugui Temos que acabar com o esquema corrupto da esquerda podre. Chega né @exercitooficial. Quem quiser que vá para Cuba. #EuAutorizoPresidente,2021-08-03 07:15:17+00:00,['makusugui'],['euautorizopresidente'],0,2,0
12961,1422501315578564609,Rodrigo1barreto,"Mete o pé daí,seu bosta! #EuAutorizoPresidente",2021-08-03 07:15:17+00:00,[],['euautorizopresidente'],0,0,0
12962,1422501279075602434,ProfessorDavi16,"Presidente Bolsonaro, não sou ninguém, nem tenho milhões de seguidores, mas como cidadão simples, do interior, #EuAutorizoPresidente",2021-08-03 07:15:08+00:00,[],['euautorizopresidente'],9,1,0
12963,1422501200537206786,BertynosTata,Está na hora presidente Bolsonaro bota a onça pra bebe água #EuAutorizoPresidente  https://t.co/fbMP9Jz5ML,2021-08-03 07:14:49+00:00,[],['euautorizopresidente'],0,2,0
12964,1422410931234091008,manumanu1602,@AdadLelia @jairbolsonaro #EuAutorizoPresidente,2021-08-03 07:14:48+00:00,"['AdadLelia', 'jairbolsonaro']",['euautorizopresidente'],0,0,0
12965,1422501181667020820,Kantunes3,Autorizado #EuAutorizoPresidente,2021-08-03 07:14:45+00:00,[],['euautorizopresidente'],0,0,0
12966,1422501164462088194,NewsAlegria,#EuAutorizoPresidente a dar um chute no cu do barroso,2021-08-03 07:14:41+00:00,[],['euautorizopresidente'],0,0,0
12967,1422501161702133775,querovacinasemp,Arruma a mala aí  #EuAutorizoPresidente,2021-08-03 07:14:40+00:00,[],['euautorizopresidente'],0,0,0
12968,1422501150973104132,Mary_morceguete,"#EuAutorizoPresidente Bom dia... q tudo seja resolvido na paz , ou não.",2021-08-03 07:14:37+00:00,[],['euautorizopresidente'],0,0,0
12969,1422501147789627402,IvaneiPedrassa,Estamos com nosso Presidente!!! #EstamosComBolsonaro  #EuAutorizoPresidente,2021-08-03 07:14:37+00:00,[],"['estamoscombolsonaro', 'euautorizopresidente']",0,0,0
12970,1422364755575062529,leilanebrazil,@mariadorosario @jdoriajr Maria do Presidiário #EuAutorizoPresidente,2021-08-03 07:14:36+00:00,"['mariadorosario', 'jdoriajr']",['euautorizopresidente'],1,1,0
12971,1422501035742990362,Marinesawatana1,#EuAutorizoPresidente,2021-08-03 07:14:10+00:00,[],['euautorizopresidente'],0,0,0
12972,1422419545763946496,manumanu1602,@SidneyBolso2022 #EuAutorizoPresidente,2021-08-03 07:14:04+00:00,['SidneyBolso2022'],['euautorizopresidente'],0,0,0
12973,1422500976636858372,francis33021264,#EuAutorizoPresidente,2021-08-03 07:13:56+00:00,[],['euautorizopresidente'],0,0,0
12974,1422500967749128200,du_reiter,Vai nessa presidente já tem nossa autorização e apoio para agir dentro das 4 linhas já que o executivo ê o único que respeita. #EuAutorizoPresidente,2021-08-03 07:13:54+00:00,[],['euautorizopresidente'],0,0,0
12975,1422500927362195457,DireitaElias,Tu não autoriza nem resposta ao seu Twitter. #EuAutorizoPresidente chega dessa esquerda imunda.,2021-08-03 07:13:44+00:00,[],['euautorizopresidente'],0,0,0
12976,1422500915467141123,Ivani_Rahal,"Chega, BASTA   #EuAutorizoPresidente   #VotoImpressoAuditavelJa",2021-08-03 07:13:41+00:00,[],"['euautorizopresidente', 'votoimpressoauditavelja']",5,1,0
12977,1422500866054033415,_MarcosLima10,Ninguém votou em ministro do supremo pra governar o Brasil. Mas o todo poderoso acha que pode tudo. #EuAutorizoPresidente,2021-08-03 07:13:29+00:00,[],['euautorizopresidente'],0,0,1
12978,1422500839743234048,Creuzin59803841,#EuAutorizoPresidente,2021-08-03 07:13:23+00:00,[],['euautorizopresidente'],0,0,0
12979,1422500821225381888,Tetirodabolhae1,"Mais uma vez  #EuAutorizoPresidente   Meus votos já foram uma autorização, mas . . . #Bolsonaro2021",2021-08-03 07:13:19+00:00,[],"['euautorizopresidente', 'bolsonaro2021']",0,0,0
12980,1422500778674098215,FlaviaGaspa,#EuAutorizoPresidente @LRobertoBarroso  https://t.co/q9gQtilv87,2021-08-03 07:13:09+00:00,[],['euautorizopresidente'],2,0,1
12981,1422500768674877446,VesgoOraculo,Por isso #EuAutorizoPresidente #BolsonaroNaCadeia porque é o wue ele merece.,2021-08-03 07:13:06+00:00,[],"['euautorizopresidente', 'bolsonaronacadeia']",0,1,0
12982,1422500754431021078,VandaMariadaS15,#EuAutorizoPresidente,2021-08-03 07:13:03+00:00,[],['euautorizopresidente'],0,0,0
12983,1422500750576455704,Bbis2020,Não votei em ministro de supremo #EuAutorizoPresidente,2021-08-03 07:13:02+00:00,[],['euautorizopresidente'],1,0,0
12984,1422500739692236819,sylviahbaguiar,#EuAutorizoPresidente Na cadeia já!  https://t.co/h88a3Mfczf,2021-08-03 07:12:59+00:00,[],['euautorizopresidente'],0,0,0
12985,1422500375639232530,banfdp,@TrumpMargareth É inacreditável o que estão fazendo!! #EuAutorizoPresidente,2021-08-03 07:12:56+00:00,['TrumpMargareth'],['euautorizopresidente'],2,0,0
12986,1422409675891425282,JoaoSou49702415,@anaprofbrasil @ChicoAQueiroz #EuAutorizoPresidente,2021-08-03 07:12:53+00:00,"['anaprofbrasil', 'ChicoAQueiroz']",['euautorizopresidente'],1,0,0
12987,1422500684008656920,rose_galvao77,Olá amigos 🇧🇷🇧🇷🇧🇷 Boomm diiiaaa 🙏☕☕✌️🤗 #EuAutorizoPresidente,2021-08-03 07:12:46+00:00,[],['euautorizopresidente'],30,12,3
12988,1422500655638384648,KffPriscila,#EuAutorizoPresidente,2021-08-03 07:12:39+00:00,[],['euautorizopresidente'],0,0,0
12989,1422500653360877571,ProfessorAntifa,#EuAutorizoPresidente  a ir para a cadeia o quanto antes!!,2021-08-03 07:12:39+00:00,[],['euautorizopresidente'],0,0,0
12990,1422500620423028737,DireitaElias,Já deu ou ainda não @exercitooficial #EuAutorizoPresidente,2021-08-03 07:12:31+00:00,[],['euautorizopresidente'],0,0,0
