Ano,Função,Projeto de Lei,Dotação Inicial,Dotação Atual,Empenhado,Liquidado,Pago
2006,19 - Ciência e Tecnologia,3316057174,3598639573,4222284572,3818015379,3818015379,2881133661
2006,20 - Agricultura,9857204447,10411277145,13375511897,10149205769,10148921481,8395344828
2006,21 - Organização Agrária,3921693600,4012082643,4705359331,4249062774,4249062774,2961810410
2006,22 - Indústria,2241184145,2300809260,2400932679,2066868255,2066868255,1999381063
2006,23 - Comércio e Serviços,2469464760,3411848207,3652421879,2791825067,2791825067,1871687691
2006,24 - Comunicações,621835894,621472613,635319319,478531726,478531726,427320855
2006,25 - Energia,641023184,730479719,563637917,449316662,449316662,371021624
2006,26 - Transporte,6790808912,7638171715,9023579207,6964821736,6964821736,3521893906
2006,27 - Desporto e Lazer,386589281,885977751,1018997605,737740827,737740827,266100652
2006,28 - Encargos Especiais,1227578028392,1237398463713,1285012234371,778547877054,778547877054,764379706981
2006,99 - Reserva de Contingência,27906973626,27811521604,22477821486,0,0,0
2007,01 - Legislativa,5256825038,5306698638,5390998638,4952367695,4567092112,4495696019
2007,02 - Judiciária,16190375806,16342545806,16395894810,16059112586,14998058584,14942919802
2007,03 - Essencial à Justiça,3454299460,3657889460,4048503817,3734654262,3427130389,3408057323
2007,04 - Administração,14618968601,14951738825,15770170276,14105523289,12312152652,12206949058
2007,05 - Defesa Nacional,16984207457,18374232650,20197383179,19568438633,17502374493,17436840061
2007,06 - Segurança Pública,4437828321,4821478321,5973223813,5293155627,4615929809,4565920181
2007,07 - Relações Exteriores,1744280164,1786580164,1801918732,1480377613,1463445643,1460618701
2007,08 - Assistência Social,24048931734,24316846734,24864317238,24713576450,24653045499,24503281873
2007,09 - Previdência Social,233072118114,233078618114,235202328468,234374636397,233700420597,233678272253
2007,10 - Saúde,42365803415,45665189468,49172892521,45723020584,40215295882,40091793136
2007,11 - Trabalho,17377719057,17438136428,19970375414,19752439319,19512579683,19509127925
2007,12 - Educação,21673514120,22322538500,25042077538,24353400689,21388770447,19994640505
2007,13 - Cultura,611378400,824973400,1004299396,757743041,442998051,431386135
2007,14 - Direitos da Cidadania,907229190,989283997,1310440411,947053748,662282928,644471451
2007,15 - Urbanismo,1117523410,3238265325,5359482592,4429794804,892853037,768884607
2007,16 - Habitação,908200000,946053857,1021541089,600206041,382365,252849
2007,17 - Saneamento,86000000,316141000,1771939339,1555139711,39757156,39190813
2007,18 - Gestão Ambiental,1739535070,2158289721,3781123371,3248377862,1373817545,1350872528
2007,19 - Ciência e Tecnologia,4101489660,4315036047,4603410198,4328570194,3323542560,3155839804
2007,20 - Agricultura,13327786737,14040018090,15824299046,11345129437,7995794482,7936277501
2007,21 - Organização Agrária,4034307980,4234068980,5148858980,4853514917,3547869641,3534106775
2007,22 - Indústria,1926543638,1991939248,2965605929,2820876527,2739668754,2452160704
2007,23 - Comércio e Serviços,3053650030,4165251156,4427365156,2877336075,1545950979,1541120921
2007,24 - Comunicações,676950235,690004408,1040386795,905942017,490760127,480488561
2007,25 - Energia,704659465,750012943,754203424,542749698,430215709,426129501
2007,26 - Transporte,7816519480,9744546409,14193836650,12238825430,5783837907,5501319647
2007,27 - Desporto e Lazer,447251328,923118828,1575555828,1414798690,756190486,754274867
2007,28 - Encargos Especiais,1042317113409,1043498503617,1053072409110,756822284557,747097984841,746182183995
2007,98 - Atípica,0,380000,380000,0,0,0
2007,99 - Reserva de Contingência,26539591988,25254705965,22456011665,0,0,0
2008,01 - Legislativa,5583455547,5619277918,5816420432,5306731597,4822323126,4675106443
2008,02 - Judiciária,19669131902,18974758542,19008581611,18795010872,17832145321,17761371786
2008,03 - Essencial à Justiça,4319506890,4258861031,4690679475,4572120419,4277092207,4273013719
2008,04 - Administração,21536036391,18117257043,16427794020,14784200829,13229078482,12929620818
2008,05 - Defesa Nacional,21514654440,21049953979,24016082887,22471340595,20186793350,18580545872
