date,nlikes,nreplies,nretweets,NInterações
2021-06-26 20:04:09,0,0,0,0
2021-06-26 20:04:14,0,0,0,0
2021-06-26 20:04:16,0,0,0,0
2021-06-26 20:04:19,7,0,4,11
2021-06-26 20:04:27,16,0,4,20
2021-06-26 20:04:35,5344,86,674,6104
2021-06-26 20:04:38,0,0,0,0
2021-06-26 20:04:44,1,0,0,1
2021-06-26 20:04:45,6,0,1,7
2021-06-26 20:04:46,0,0,0,0
2021-06-26 20:04:52,0,0,0,0
2021-06-26 20:05:17,0,0,0,0
2021-06-26 20:05:18,1,0,0,1
2021-06-26 20:05:19,0,0,0,0
2021-06-26 20:05:25,0,0,0,0
2021-06-26 20:05:31,0,0,0,0
2021-06-26 20:05:37,0,0,0,0
2021-06-26 20:05:49,0,0,0,0
2021-06-26 20:05:51,3,0,0,3
2021-06-26 20:05:53,0,0,0,0
2021-06-26 20:05:55,0,0,0,0
2021-06-26 20:06:17,0,0,0,0
2021-06-26 20:06:18,0,0,0,0
2021-06-26 20:06:21,0,0,0,0
2021-06-26 20:06:22,0,0,0,0
2021-06-26 20:06:23,0,0,0,0
2021-06-26 20:06:27,4,0,1,5
2021-06-26 20:06:28,2,0,0,2
2021-06-26 20:06:35,2,0,0,2
2021-06-26 20:06:39,1,0,2,3
2021-06-26 20:06:41,1,0,0,1
2021-06-26 20:06:43,0,0,0,0
2021-06-26 20:06:46,17,1,4,22
2021-06-26 20:06:47,0,0,0,0
2021-06-26 20:06:52,0,0,0,0
2021-06-26 20:06:53,1,0,0,1
2021-06-26 20:06:54,591,19,175,785
2021-06-26 20:06:58,1,1,0,2
2021-06-26 20:07:01,2,0,0,2
2021-06-26 20:07:03,1,0,0,1
2021-06-26 20:07:06,1,0,0,1
2021-06-26 20:07:08,2,0,0,2
2021-06-26 20:07:11,0,0,0,0
2021-06-26 20:07:16,0,0,0,0
2021-06-26 20:07:27,1,0,0,1
2021-06-26 20:07:36,0,0,0,0
2021-06-26 20:07:37,0,0,0,0
2021-06-26 20:07:42,0,0,0,0
2021-06-26 20:07:45,22,2,5,29
2021-06-26 20:07:48,1,0,0,1
2021-06-26 20:07:52,0,0,0,0
2021-06-26 20:07:58,2,0,0,2
2021-06-26 20:08:07,0,0,0,0
2021-06-26 20:08:09,0,0,0,0
2021-06-26 20:08:10,4,0,3,7
2021-06-26 20:08:13,2,1,0,3
2021-06-26 20:08:18,0,0,0,0
2021-06-26 20:08:23,0,0,0,0
2021-06-26 20:08:28,0,0,0,0
2021-06-26 20:08:33,0,0,0,0
2021-06-26 20:08:41,0,0,0,0
2021-06-26 20:08:47,1,0,0,1
2021-06-26 20:08:52,2,0,1,3
2021-06-26 20:08:53,2,0,0,2
2021-06-26 20:08:55,0,0,0,0
2021-06-26 20:08:56,0,0,0,0
2021-06-26 20:08:57,1,0,0,1
2021-06-26 20:08:58,0,0,0,0
2021-06-26 20:09:02,0,0,0,0
2021-06-26 20:09:06,0,0,0,0
2021-06-26 20:09:08,0,0,0,0
2021-06-26 20:09:11,0,0,0,0
2021-06-26 20:09:12,0,0,0,0
2021-06-26 20:09:17,0,0,0,0
2021-06-26 20:09:19,0,0,0,0
2021-06-26 20:09:21,0,0,0,0
2021-06-26 20:09:23,0,1,0,1
2021-06-26 20:09:29,1,0,0,1
2021-06-26 20:09:33,0,0,0,0
2021-06-26 20:09:37,0,0,0,0
2021-06-26 20:09:39,9,0,4,13
2021-06-26 20:09:47,1,0,0,1
2021-06-26 20:09:48,2,2,0,4
2021-06-26 20:09:52,1,0,0,1
2021-06-26 20:09:53,12,0,7,19
2021-06-26 20:09:54,0,0,0,0
2021-06-26 20:09:56,1,1,0,2
2021-06-26 20:09:57,0,0,0,0
2021-06-26 20:10:05,1,0,0,1
2021-06-26 20:10:08,0,0,0,0
2021-06-26 20:10:13,0,0,0,0
2021-06-26 20:10:14,5,0,1,6
2021-06-26 20:10:15,0,0,0,0
2021-06-26 20:10:16,0,0,0,0
2021-06-26 20:10:21,0,0,0,0
2021-06-26 20:10:22,0,0,0,0
2021-06-26 20:10:23,1,0,0,1
2021-06-26 20:10:24,6,0,4,10
2021-06-26 20:10:25,1,0,0,1
2021-06-26 20:10:34,0,0,0,0
2021-06-26 20:10:44,0,0,0,0
2021-06-26 20:10:51,1,0,0,1
2021-06-26 20:10:52,0,0,0,0
2021-06-26 20:10:56,1,0,0,1
2021-06-26 20:10:57,2,0,0,2
2021-06-26 20:10:58,0,0,0,0
2021-06-26 20:11:02,120,6,1,127
2021-06-26 20:11:03,3,1,0,4
2021-06-26 20:11:10,0,0,0,0
2021-06-26 20:11:15,5,0,3,8
2021-06-26 20:11:17,1,0,0,1
2021-06-26 20:11:32,1,0,0,1
